"Candidato", "Número", "Partido", "Porcentagem", "Votos"
"Adriane Lopes", "11", "PP", "31,67 %", "140.913"
"Rose Modesto", "44", "UNIÃO", "29,56 %", "131.525"
"Beto Pereira", "45", "PSDB", "25,96 %", "115.516"
"Camila Jara", "13", "PT", "9,43 %", "41.966"
"Beto Figueiró", "30", "NOVO", "2,45 %", "10.885"
"Luso de Queiroz", "50", "PSOL", "0,70 %", "3.108"
"Ubirajara Martins", "27", "DC", "0,24 %", "1.067"
